Name,Position X,Position Y,Position Z,BLDG_CH,BLDG_NUM,NUM_APTS_C,NUM_FLOORS,STREET_COD
2206,179880.8917,654495.8356,0.0000,םירוגמ,4,1,2,101
2206,179872.6181,654497.4161,0.0000,םירוגמ,4,1,2,101
2206,179866.8044,654497.4738,0.0000,םירוגמ,4,1,2,101
2206,179696.0595,654510.5679,0.0000,םירוגמ,8,0,1,142
2206,180143.9460,654584.6107,0.0000,םירוגמ,18,1,2,103
2206,180144.6460,654577.7164,0.0000,םירוגמ,16,2,2,103
2206,179858.4029,654496.8243,0.0000,םירוגמ,4,1,2,101
2206,180038.1684,654454.6354,0.0000,םירוגמ,9,4,2,140
2206,180143.5460,654591.8048,0.0000,םירוגמ,18,1,2,103
2206,180145.5431,654680.4601,0.0000,םירוגמ,26,4,2,103
2206,180162.7422,654678.2619,0.0000,םירוגמ,26,4,2,103
2206,180112.7310,654670.0660,0.0000,םירוגמ,25,1,2,103
2206,180291.9411,654505.4216,0.0000,םירוגמ,14,6,3,105
2206,180271.5182,654401.5648,0.0000,םירוגמ,8,12,3,105
2206,180100.3797,654670.6611,0.0000,םירוגמ,6,1,1,109
2206,180153.6468,654615.5206,0.0000,םירוגמ,15,2,2,130
2206,180164.9491,654615.7357,0.0000,םירוגמ,15,2,2,130
2206,180145.1460,654598.2994,0.0000,םירוגמ,18,2,2,103
2206,180140.1558,654623.2462,0.0000,םירוגמ,22,2,2,103
2206,180143.7556,654658.0176,0.0000,םירוגמ,24,2,2,103
2206,180144.6555,654646.8268,0.0000,םירוגמ,24,2,2,103
2206,180143.5556,654635.3363,0.0000,םירוגמ,22,2,2,103
2206,180291.5646,654521.4087,0.0000,םירוגמ,14,6,3,105
2206,180146.4928,654530.6063,0.0000,םירוגמ,12,4,2,103
2206,180167.4243,654531.8923,0.0000,םירוגמ,12,4,2,103
2206,180138.5823,654531.6319,0.0000,םירוגמ,12,1,1,103
2206,180093.3682,654485.9836,0.0000,םירוגמ,8,1,1,140
2206,180105.1317,654484.8795,0.0000,םירוגמ,4,1,1,140
2206,180098.7478,654488.3294,0.0000,םירוגמ,6,1,1,140
2206,180256.9155,654695.0877,0.0000,םירוגמ,1,6,3,114
2206,180241.1498,654695.0877,0.0000,םירוגמ,3,6,3,114
2206,180225.9092,654658.6188,0.0000,םירוגמ,29,6,3,105
2206,180139.7955,654504.6102,0.0000,םירוגמ,10,1,1,103
2206,180145.2363,654503.7681,0.0000,םירוגמ,10,1,1,103
2206,180087.4268,654487.4738,0.0000,םירוגמ,10,1,1,140
2206,180111.9254,654583.5540,0.0000,םירוגמ,1,1,2,141
2206,180111.7635,654519.9254,0.0000,םירוגמ,1,1,2,137
2206,179677.9912,654376.9850,0.0000,םירוגמ,6,4,3,1052
2206,179645.3917,654382.6947,0.0000,םירוגמ,3,4,4,1053
2206,179627.4984,654402.4878,0.0000,םירוגמ,1,4,4,1053
2206,179695.3228,654357.7629,0.0000,םירוגמ,8,4,3,1052
2206,180067.6492,654491.4527,0.0000,םירוגמ,16,1,1,140
2206,180073.9308,654481.6395,0.0000,םירוגמ,14,1,2,140
2206,180079.1333,654486.7671,0.0000,םירוגמ,12,1,1,140
2206,180062.3144,654486.5320,0.0000,םירוגמ,18,1,1,140
2206,180089.3122,654446.9637,0.0000,םירוגמ,3,4,2,140
2206,179969.0321,654322.5946,0.0000,םירוגמ,5,1,1,106
2206,179998.3049,654293.9252,0.0000,םירוגמ,4,1,1,106
2206,180145.0196,654435.7180,0.0000,םירוגמ,6,1,1,103
2206,180151.0562,654435.4127,0.0000,םירוגמ,6,1,1,103
2206,180139.2714,654437.9533,0.0000,םירוגמ,6,1,1,103
2206,180158.0966,654480.7105,0.0000,םירוגמ,8,2,2,103
2206,180155.4712,654436.6697,0.0000,םירוגמ,6,1,1,103
2206,180133.4294,654451.5922,0.0000,םירוגמ,6,0,1,103
2206,180266.3452,654448.1401,0.0000,םירוגמ,10,14,4,105
2206,180262.9817,654421.4611,0.0000,םירוגמ,8,14,4,105
2206,180264.7751,654343.4495,0.0000,םירוגמ,8,8,4,135
2206,180282.3953,654463.6791,0.0000,םירוגמ,12,14,4,105
2206,180133.4125,654479.7067,0.0000,םירוגמ,8,1,1,103
2206,180140.7157,654701.5867,0.0000,םירוגמ,11,4,2,114
